release_friday,slug,title,desk,subdomain,original_pubDate,tier_target,tier_current,quarto_path,friday_action,notes
2026-09-26,padres,$3.9bn for Zero Championships: Inside the Padres' Record Sale,sports,baseball,2026-07-31,B,B,articles/padres/padres.qmd,go_live,First Friday spotlight
2026-10-03,blueprint,$3.9 Billion Buys the Padres—But Not a Championship Blueprint,sports,baseball,2026-07-31,B,B,articles/blueprint/blueprint.qmd,go_live,
2026-10-10,beyonce,Beyoncé and the Cost of Controlling the House,humanities,psychology,2026-07-28,B,B,articles/beyonce/beyonce.qmd,go_live,
2026-10-17,trademarks,A ¥10.3 million trademark award in China turned a legal win into a cultural reckoning,arts,fashion,2026-07-28,B,B,articles/trademarks/trademarks.qmd,go_live,
2026-10-24,streaming,"Netflix Holds 4,800 Titles While Marketing 40: What Catalog Data Shows About Platform Inventory",culture,,2026-07-21,B,B,articles/streaming/streaming.qmd,go_live,
2026-10-31,oscars,'Oscars vs Grammys: How Award Shows Build Prestige',humanities,sociology,2026-07-01,B,B,articles/oscars/oscars.qmd,go_live,
2026-11-07,rivalry,"California leads in GDP and tech, Texas in energy and migration—7 dimensions of the most-compared state rivalry",civics,politics,2026-07-01,B,B,articles/rivalry/rivalry.qmd,go_live,
2026-11-14,celtics,18 NBA titles have turned the Celtics into a franchise judged against its own history,sports,basketball,2026-07-01,B,B,articles/celtics/celtics.qmd,go_live,
2026-11-21,bioeconomics,'What does a city export? A data framework for economic identity',civics,economics,2026-07-01,B,B,articles/bioeconomics/bioeconomics.qmd,go_live,
2026-11-28,cowboys,Dallas Cowboys carry $10B franchise value through 29-year championship drought,sports,football,2026-07-01,B,B,articles/cowboys/cowboys.qmd,go_live,
2026-12-05,geopolitics,Film and music lead cultural export scales; South Korea's geopolitics index rose 70 points since 1990,civics,economics,2026-07-01,B,B,articles/geopolitics/geopolitics.qmd,go_live,
2026-12-12,dodgers,The Dodgers won 111 games in 2022—and still needed two titles to prove the machine works,sports,baseball,2026-07-01,B,B,articles/dodgers/dodgers.qmd,go_live,
2026-12-19,exporters,"'U.S. Platforms, Chinese Factories, German Machines: Three Export Systems'",civics,economics,2026-07-01,B,B,articles/exporters/exporters.qmd,go_live,
2026-12-26,blockbusters,How Movies Become Famous on IMDb’s Public Scoreboard,arts,film,2026-07-01,B,B,articles/blockbusters/blockbusters.qmd,go_live,
2027-01-02,lakers,17 championships — how the Lakers convert star gravity into title eras,sports,basketball,2026-07-01,B,B,articles/lakers/lakers.qmd,go_live,
2027-01-09,leagues,"NFL Franchises Average $6.5B — Why League Rules, Not Market Size, Set Team Value",sports,football,2026-07-01,B,B,articles/leagues/leagues.qmd,go_live,
2027-01-16,fame,Catalog Depth and Genre Travel Predict Pop Fame Duration,arts,music,2026-07-01,B,B,articles/fame/fame.qmd,go_live,
2027-01-23,atlas,"Germany Sells Machines, Saudi Arabia Sells Oil—What Does Your Country Sell?",civics,economics,2026-07-01,B,B,articles/atlas/atlas.qmd,go_live,
2027-01-30,metros,New York commands capital while San Francisco invents the future,civics,economics,2026-07-01,B,B,articles/metros/metros.qmd,go_live,
2027-02-06,pantheon,"Power, Art, and Science Dominate Global Memory—85,000 Lives in MIT's Pantheon Dataset",humanities,sociology,2026-07-01,B,B,articles/pantheon/pantheon.qmd,go_live,
2027-02-13,patriots,Six Super Bowls in 19 Seasons — The Patriots' Systemic Discontinuity,sports,football,2026-07-01,B,B,articles/patriots/patriots.qmd,go_live,
2027-02-20,lcsh,"English Commands 72% of Gutenberg's 75,000-Book Public-Domain Shelf",arts,language,2026-07-01,B,B,articles/lcsh/lcsh.qmd,go_live,
