country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
Italy,This simple white offers exotic fruit aromas while the bright palate shows banana and pineapple notes. Zesty acidity gives it a refreshing finish.,,85,,Southern Italy,Greco di Tufo,,Kerin O’Keefe,@kerinokeefe,Antica Hirpinia 2016  Greco di Tufo,Greco,Antica Hirpinia
US,"This wine comes from older vines at Conner Lee, Dionysus and Elephant Mountain vineyards. Light aromas of herb, dark plum, menthol and licorice lead to quite sweet full-bodied fruit flavors and a warm finish. It delivers a sense of hedonism and unabashed appeal, though the variety doesn't seem entirely clear.",1RDRS4,89,28.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,J. Bookwalter 2014 1RDRS4 Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,J. Bookwalter
Portugal,"An impressive Pinot Noir that brings out plenty of the varietal's characteristics: the strawberry fruit flavors, the structure and the acidity. It is from the region north of Lisbon, which has a cool maritime climate, giving the wine its depth of flavor. Age for two years.",Q de Sant'Ana,90,28.0,Portuguese Table Wine,,,Roger Voss,@vossroger,Quinta de Sant'Ana 2009 Q de Sant'Ana Pinot Noir (Portuguese Table Wine),Pinot Noir,Quinta de Sant'Ana
US,"A dry, tannic and severe Syrah. It's tart and sandpapery in the mouth, with a scoury mouthfeel, and although you'll find some cherries and currants, there's not enough richness to counterbalance the toughness.",Paradise Road,86,30.0,California,Santa Barbara County,Central Coast,,,Jalama 2006 Paradise Road Syrah (Santa Barbara County),Syrah,Jalama
US,"Heavy in alcohol and overripe, but entirely dry, and the black currant, chocolate and pepper flavors will play well against richly sauced barbecue.",The Caboose,84,30.0,California,Alexander Valley,Sonoma,,,Starry Night 2007 The Caboose Zinfandel (Alexander Valley),Zinfandel,Starry Night
US,"Good price for this dry, crisp and stylish Pinot Grigio. Easy to drink as a cocktail sipper, with lemon and lime sour candy flavors that sweeten toward the end with a hit of honey.",,86,8.0,California,California,California Other,,,Smoking Loon 2009 Pinot Grigio (California),Pinot Grigio,Smoking Loon
Italy,"Made from Pinot Nero and Chardonnay, this delivers sensations of bread crust, toasted walnut, lemon drop and red apple. Vivacious bubbles and crisp acidity leave an invigorating finish.",Metodo Classico,87,39.0,Italy Other,Vino Spumante,,Kerin O’Keefe,@kerinokeefe,Beni di Batasiolo 2008 Metodo Classico Sparkling (Vino Spumante),Sparkling Blend,Beni di Batasiolo
Portugal,"Wood flavors dominate this young wine. It has structure and tannins, with concentrated toast and chocolate flavors. The extraction of the fruit gives the wine a bitter character. It should soften, so drink from 2019.",Colheita,88,15.0,Douro,,,Roger Voss,@vossroger,Quinta dos Poços 2014 Colheita Red (Douro),Portuguese Red,Quinta dos Poços
US,"This full-bodied, velvet-textured wine has an exotic aroma like a pine forest and tastes like a bowl full of blueberries. Ripe, almost jammy flavors coat the tongue, and vibrate with black currant on the finish. Fine-grained tannins give the texture lots of grip, and support the ripe fruit flavors so they stay dry and appetizing sip after sip.",,92,50.0,California,Napa Valley,Napa,Jim Gordon,@gordone_cellars,Hoopes 2013 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Hoopes
US,"A bit restrained on the nose, still young, this wine expresses raspberry and strawberry notes curled around a soft, medium-bodied core. Subtle in oak, it builds aroma and flavor in the glass, suggesting that it's worth the time to open before enjoying.",,89,30.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Sonoma-Cutrer 2013 Pinot Noir (Russian River Valley),Pinot Noir,Sonoma-Cutrer
